"Category", "Standard", "Url"

"IT-Sicherheit", "BSI-Gesetz (BSIG 2025) — Gesetz über das Bundesamt für Sicherheit in der Informationstechnik", "https://www.gesetze-im-internet.de/bsig_2025/BJNR12D0B0025.html"
"IT-Sicherheit", "Datenschutz-Grundverordnung (DSGVO/GDPR) — EU-Verordnung 2016/679, deutsche Fassung", "https://eur-lex.europa.eu/eli/reg/2016/679/oj/deu"
"IT-Sicherheit", "Bundesdatenschutzgesetz (BDSG, 2018)", "https://www.gesetze-im-internet.de/bdsg_2018/BJNR209710017.html"
"IT-Sicherheit", "BSI IT-Grundschutz-Kompendium", "https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html"
"IT-Sicherheit", "BSI-Standards 200-1 bis 200-4 (ISMS, IT-Grundschutz-Methodik, Risikoanalyse, Business Continuity)", "https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/BSI-Standards/bsi-standards_node.html"
"IT-Sicherheit", "BSI-Kritisverordnung (BSI-KritisV) — Kritische Infrastrukturen", "https://www.gesetze-im-internet.de/bsi-kritisv/BJNR095800016.html"

"Digitale Verwaltung", "E-Government-Gesetz (EGovG)", "https://www.gesetze-im-internet.de/egovg/BJNR274910013.html"
"Digitale Verwaltung", "Onlinezugangsgesetz (OZG)", "https://www.gesetze-im-internet.de/ozg/BJNR313800017.html"
"Digitale Verwaltung", "Barrierefreie-Informationstechnik-Verordnung (BITV 2.0)", "https://www.gesetze-im-internet.de/bitv_2_0/BJNR184300011.html"
"Digitale Verwaltung", "Verwaltungsverfahrensgesetz (VwVfG)", "https://www.gesetze-im-internet.de/vwvfg/"

"Kinder, Schule & Digitalisierung", "Achtes Buch Sozialgesetzbuch (SGB VIII) — Kinder- und Jugendhilfe", "https://www.gesetze-im-internet.de/sgb_8/"
"Kinder, Schule & Digitalisierung", "Jugendschutzgesetz (JuSchG) — Nutzung von Medien und Telekommunikation durch Kinder und Jugendliche", "https://www.gesetze-im-internet.de/juschg/"
"Kinder, Schule & Digitalisierung", "Gesetz zur Kooperation und Information im Kinderschutz (KKG)", "https://www.gesetze-im-internet.de/kkg/"
"Kinder, Schule & Digitalisierung", "EU AI Act — Verordnung (EU) 2024/1689 über Künstliche Intelligenz, deutsche Fassung", "https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32024R1689"
"Kinder, Schule & Digitalisierung", "Digital Services Act (DSA) — Verordnung (EU) 2022/2065, Schutz Minderjähriger online, deutsche Fassung", "https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32022R2065"
"Kinder, Schule & Digitalisierung", "DigitalPakt Schule — Bund-Länder-Programm zur Digitalisierung der Schulen", "https://www.digitalpaktschule.de/"
"Kinder, Schule & Digitalisierung", "KMK-Strategie: Bildung in der digitalen Welt (Beschluss der Kultusministerkonferenz, 2016)", "https://www.kmk.org/fileadmin/Dateien/veroeffentlichungen_beschluesse/2016/2016_12_08-Bildung-in-der-digitalen-Welt.pdf"
